Temps (sec)	As 188.980

0.00	304.42
3.23	295.63
6.47	294.82
9.56	307.54
12.72	280.51
15.95	262.66
19.19	223.72
22.28	248.60
25.44	236.39
28.67	261.32
31.91	299.24
35.00	345.80
38.16	377.49
41.39	392.51
44.62	354.65
47.72	330.11
50.87	324.11
54.11	282.74
57.34	299.18
60.44	302.99
63.59	294.45
66.83	288.99
70.06	276.88
73.08	260.66
76.31	267.42
79.55	300.69
82.78	331.16
85.87	359.34
89.03	347.84
92.26	362.45
95.50	385.17
98.59	358.41
101.75	327.91
104.98	319.43
108.22	310.41
111.31	291.62
114.47	285.60
117.70	265.33
120.94	264.15
124.03	266.87
127.19	259.19
130.42	266.92
133.65	287.74
136.75	282.31
139.90	281.13
143.14	293.94
146.37	282.99
149.39	285.02
152.62	296.23
155.86	285.19
159.09	269.93
162.19	281.83
165.34	288.04
168.58	297.92
171.81	271.72
174.83	273.18
178.06	289.51
181.30	280.32
184.53	310.79
