Temps (sec)	As 188.980

0.00	291.76
3.23	291.69
6.47	305.23
9.56	297.48
12.72	291.15
15.95	262.85
19.19	255.57
22.28	254.55
25.44	255.93
28.67	286.48
31.91	279.23
34.92	312.89
38.16	322.15
41.39	316.40
44.62	306.81
47.72	308.94
50.87	313.98
54.11	322.19
57.34	305.44
60.44	296.06
63.59	284.58
66.83	274.84
70.06	254.79
73.15	258.26
76.31	259.28
79.55	263.82
82.78	270.70
85.87	289.61
89.03	283.17
92.26	284.31
95.36	289.21
98.59	300.67
101.75	394.24
104.98	1108.33
108.22	2340.98
111.31	3593.77
114.47	3053.49
117.70	2179.80
120.94	1341.92
124.03	839.03
127.19	574.44
130.42	436.81
133.44	362.79
136.75	340.62
139.90	315.12
143.14	316.00
146.37	297.07
149.47	310.80
152.62	300.69
155.86	295.05
159.09	289.01
162.11	304.02
165.34	298.74
168.58	304.38
171.81	302.81
174.90	296.14
178.06	295.66
181.30	300.77
184.53	285.74
