Temps (sec)	As 188.980
Hors Limite
0.00	297.91
3.23	307.16
6.47	297.25
9.56	301.06
12.72	289.51
15.95	283.50
19.19	238.92
22.28	276.15
25.44	290.14
28.67	435.49
31.91	1543.58
35.00	4124.67
38.16	7110.10
41.39	8278.40
44.62	7649.12
47.64	5844.00
50.87	3816.11
54.11	2335.84
57.34	1167.30
60.44	726.73
63.59	518.99
66.83	430.63
70.06	345.79
73.15	319.65
76.31	322.23
79.55	324.07
82.78	315.94
85.87	316.75
89.03	328.79
92.26	340.79
95.50	322.48
98.59	322.59
101.75	321.93
104.98	379.90
108.22	501.66
111.24	630.28
114.47	617.32
117.70	561.59
120.94	459.07
123.96	379.49
127.19	345.27
130.42	347.52
133.65	312.43
136.67	323.50
139.90	282.39
143.14	317.12
146.37	309.37
149.39	300.22
152.62	314.78
155.86	317.23
159.09	297.23
162.19	314.91
165.34	293.66
168.58	314.95
171.81	301.12
174.90	305.50
178.06	318.83
181.30	307.42
184.53	297.86
